PurchasePrice,PurchasePriceM,DownPayment,MortgageInterestRatePercent,AnnualSupplementalMaintenanceCosts,AmortizationPeriodYears,AnnualAmortizationAmount,TotalRenovations,AdditionalPurchaseExpenses,ImputedRentalValue,PropertyExpenseTaxDeductions,MarginalTaxRatePercent,AnnualPropertyValueIncreasePercent,MonthlyRentDue,AnnualSupplementalCostsRent,InvestmentYieldRatePercent,TermYears,CompareText,ResultValue,Decision,InterestCosts,SupplementalMaintenanceCosts,AmortizationCosts,RenovationExpenses,AdditionalPurchaseExpensesOutput,GeneralCostOfPurchase,TaxDifferenceToRental,MinusPropertyValue,MortgageAtEndOfRelevantTimePeriod,TotalPurchaseCost,GeneralCostOfRental,ExcludingYieldsOnAssets,ExcludingDownPayment,TotalRentalCost,MortgageAmount,ErrorMsg
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,0.0,5500,20000,0.0,10,"Buying your home will work out CHF 472,454.40 cheaper than renting over the relevant time frame.",472454.4,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,47766.2,-2000000.0,1431010.0,40545.6,860000.0,0.0,-347000.0,513000.0,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,0.5,5500,20000,0.0,10,"Buying your home will work out CHF 574,734.70 cheaper than renting over the relevant time frame.",574734.7,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,47766.2,-2102280.25,1431010.0,-61734.7,860000.0,0.0,-347000.0,513000.0,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,1.0,5500,20000,0.0,10,"Buying your home will work out CHF 681,698.65 cheaper than renting over the relevant time frame.",681698.65,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,47766.2,-2209244.25,1431010.0,-168698.65,860000.0,0.0,-347000.0,513000.0,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,1.5,5500,20000,0.0,10,"Buying your home will work out CHF 793,536.05 cheaper than renting over the relevant time frame.",793536.05,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,47766.2,-2321081.65,1431010.0,-280536.05,860000.0,0.0,-347000.0,513000.0,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,2.0,5500,20000,0.0,10,"Buying your home will work out CHF 910,443.25 cheaper than renting over the relevant time frame.",910443.25,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,47766.2,-2437988.85,1431010.0,-397443.25,860000.0,0.0,-347000.0,513000.0,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,0.0,5500,20000,0.5,10,"Buying your home will work out CHF 460,032.45 cheaper than renting over the relevant time frame.",460032.45,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,42442.5,-2000000.0,1431010.0,35221.9,860000.0,-17745.65,-347000.0,495254.35,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,0.5,5500,20000,0.5,10,"Buying your home will work out CHF 562,312.70 cheaper than renting over the relevant time frame.",562312.7,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,42442.5,-2102280.25,1431010.0,-67058.35,860000.0,-17745.65,-347000.0,495254.35,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,1.0,5500,20000,0.5,10,"Buying your home will work out CHF 669,276.70 cheaper than renting over the relevant time frame.",669276.7,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,42442.5,-2209244.25,1431010.0,-174022.35,860000.0,-17745.65,-347000.0,495254.35,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,1.5,5500,20000,0.5,10,"Buying your home will work out CHF 781,114.10 cheaper than renting over the relevant time frame.",781114.1,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,42442.5,-2321081.65,1431010.0,-285859.75,860000.0,-17745.65,-347000.0,495254.35,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,2.0,5500,20000,0.5,10,"Buying your home will work out CHF 898,021.30 cheaper than renting over the relevant time frame.",898021.3,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,42442.5,-2437988.85,1431010.0,-402766.95,860000.0,-17745.65,-347000.0,495254.35,1653000,
